timestamp,country,silver_label,human_label,notes
1600412400000000000,FR,1,,
1601269200000000000,FR,1,,
1601272800000000000,FR,1,,
1600326000000000000,FR,0,,
1600822800000000000,FR,0,,
1601481600000000000,FR,0,,
1601082000000000000,FR,0,,
1599825600000000000,FR,0,,
1597208400000000000,FR,0,,
1597723200000000000,FR,0,,
1596747600000000000,FR,0,,
1597204800000000000,FR,0,,
1600556400000000000,FR,0,,
1596308400000000000,FR,0,,
1598925600000000000,FR,0,,
1599868800000000000,FR,0,,
1596063600000000000,FR,0,,
1597100400000000000,FR,0,,
1598871600000000000,FR,0,,
1598745600000000000,FR,0,,
1596034800000000000,FR,0,,
1599609600000000000,FR,0,,
1597276800000000000,FR,0,,
1597334400000000000,FR,0,,
1599354000000000000,FR,0,,
1600984800000000000,FR,0,,
1596812400000000000,FR,0,,
1600358400000000000,FR,0,,
1596996000000000000,FR,0,,
1597280400000000000,FR,0,,
1596675600000000000,FR,0,,
1600203600000000000,FR,0,,
1597827600000000000,FR,0,,
1596171600000000000,FR,0,,
1596232800000000000,FR,0,,
1596618000000000000,FR,0,,
1597975200000000000,FR,0,,
1599750000000000000,FR,0,,
1599634800000000000,FR,0,,
1601341200000000000,FR,0,,
1598335200000000000,FR,0,,
1600336800000000000,FR,0,,
1598738400000000000,FR,0,,
1598382000000000000,FR,0,,
1597136400000000000,FR,0,,
1596441600000000000,FR,0,,
1601388000000000000,FR,0,,
1600308000000000000,FR,0,,
1598155200000000000,FR,0,,
1596337200000000000,FR,0,,
1596999600000000000,FR,0,,
1596427200000000000,FR,0,,
1596549600000000000,FR,0,,
