timestamp,country,silver_label,human_label,notes
1601359200000000000,CH,1,,
1600977600000000000,CH,0,,
1599361200000000000,CH,0,,
1599613200000000000,CH,0,,
1598695200000000000,CH,0,,
1597903200000000000,CH,0,,
1599498000000000000,CH,0,,
1599501600000000000,CH,0,,
1598792400000000000,CH,0,,
1597615200000000000,CH,0,,
1596182400000000000,CH,0,,
1600801200000000000,CH,0,,
1597960800000000000,CH,0,,
1600135200000000000,CH,0,,
1598418000000000000,CH,0,,
1597201200000000000,CH,0,,
1599217200000000000,CH,0,,
1599742800000000000,CH,0,,
1601334000000000000,CH,0,,
1597500000000000000,CH,0,,
1596369600000000000,CH,0,,
1601226000000000000,CH,0,,
1599188400000000000,CH,0,,
1596978000000000000,CH,0,,
1597147200000000000,CH,0,,
1599134400000000000,CH,0,,
1597413600000000000,CH,0,,
1598029200000000000,CH,0,,
1597431600000000000,CH,0,,
1598076000000000000,CH,0,,
1600776000000000000,CH,0,,
1599811200000000000,CH,0,,
1600290000000000000,CH,0,,
1596337200000000000,CH,0,,
1597190400000000000,CH,0,,
1599955200000000000,CH,0,,
1596211200000000000,CH,0,,
1601053200000000000,CH,0,,
1596963600000000000,CH,0,,
1597276800000000000,CH,0,,
1596708000000000000,CH,0,,
1598612400000000000,CH,0,,
1598774400000000000,CH,0,,
1597694400000000000,CH,0,,
1601164800000000000,CH,0,,
1597586400000000000,CH,0,,
1597467600000000000,CH,0,,
1598043600000000000,CH,0,,
1600945200000000000,CH,0,,
1600354800000000000,CH,0,,
1601175600000000000,CH,0,,
